anime_id,title,type,source,score,genre,episode
2017,Mermaid&#039;s Scar,OVA,Manga,6.99,"Drama, Fantasy, Horror, Mystery",1
28249,Arslan Senki (TV),TV,Manga,7.82,"Action, Adventure, Historical, Drama, Fantasy, Shounen",25
1816,Sonic X,TV,Game,6.52,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen",78
256,Hoshi no Koe,OVA,Original,7.4,"Sci-Fi, Space, Drama, Romance, Mecha",1
2771,Chou Kuse ni Narisou,TV,Manga,6.5,"Slice of Life, Comedy, Romance, School, Shoujo",39
15905,Qin Shi Ming Yue: Wanli Changcheng,TV,Novel,7.22,"Action, Historical, Martial Arts, Fantasy",37
17815,Kyoto Animation: Kasa-hen,Special,Original,6.17,Fantasy,1
4765,Gunslinger Girl: Il Teatrino OVA,OVA,Manga,7.09,"Action, Drama, Military, Sci-Fi",2
34649,Soukyuu no Fafner: Dead Aggressor - The Beyond,Unknown,Original,0,"Action, Military, Sci-Fi, Drama, Mecha",0
3271,Bakutou Sengen Daigunder,TV,Original,6.78,"Sci-Fi, Adventure, Mecha",39
3836,Meiken Jolie,TV,Novel,6.81,"Adventure, Historical",52
29820,Channel 5.5 4th Season,ONA,Unknown,5.43,"Parody, Comedy",4
2232,Funny Pets,TV,Unknown,4.65,Comedy,12
13819,Kamiusagi Rope 2,Movie,Original,5.42,"Slice of Life, Comedy",12
32761,Gekkou Shokudou,Music,Music,5.46,Music,1
13331,Jormungand: Perfect Order,TV,Manga,8.01,"Action, Adventure, Seinen",12
8909,Tales of Symphonia The Animation: Tethe&#039;alla-hen Specials,Special,Game,7.19,Comedy,4
2173,Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,Movie,Card game,5.95,"Adventure, Fantasy",1
33498,Ganbare! Kickers: Hitoribocchi no Ace Striker,Special,Manga,6.3,"Sports, Drama, Shounen",1
30143,Bobobo-bo Bo-bobo Recap,Special,Unknown,6.38,"Action, Parody, Comedy, Sci-Fi, Shounen",1
30433,Eat You Up/Bunny,Music,Unknown,4.94,Music,1
526,Boku no Chikyuu wo Mamotte,OVA,Manga,7.26,"Drama, Sci-Fi, Shoujo",6
33850,Nil Admirari no Tenbin,TV,Visual novel,5.87,"Fantasy, Historical, Romance",12
3313,Montana Jones,TV,Original,7.03,"Adventure, Comedy",52
34373,Himitsukessha Taka no Tsume: Teikyou Kakutoku Daisakusen - Sakusen Kaigi,Special,Original,4.9,"Comedy, Parody",12
1156,I: Wish You Were Here,TV,Original,6.15,"Action, Drama, Mystery, Sci-Fi",4
9366,Kaichou wa Maid-sama!: Omake dayo!,Special,Manga,7.56,"Comedy, School, Shoujo",1
35805,Cinderella Girls Gekijou Specials,Special,4-koma manga,6.42,"Slice of Life, Comedy",2
8754,Tales of the Abyss Special Fan Disc,Special,Unknown,6.81,"Comedy, Slice of Life",2
9855,Shujii no Inbou,OVA,Visual novel,5.44,Hentai,2
32759,Kokuen,Music,Music,5.34,"Drama, Music",1
20959,Kansen: Ball Buster The Animation,OVA,Visual novel,6.06,Hentai,1
21297,Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,Movie,Unknown,5.41,"Comedy, Fantasy, Kids",1
16317,Ishida to Asakura,TV,Manga,5.99,"Comedy, School, Seinen",12
17115,Pokemon Best Wishes! Season 2: Episode N,TV,Game,6.93,"Action, Adventure, Comedy, Kids, Fantasy",14
4098,Urarochi Diamond,OVA,Unknown,5.54,Adventure,1
28145,Johnny Cypher,TV,Unknown,7.08,"Action, Adventure, Sci-Fi",130
30401,Rule,Movie,Unknown,4.87,Dementia,1
36745,1/100 Rice Planting,ONA,Original,5.03,Slice of Life,1
2712,Shiratori Reiko de Gozaimasu!,OVA,Manga,5.6,"Comedy, Romance",1
29401,Shiritori Oukoku,TV,Unknown,4.58,Kids,3
35327,Hiyoko no Basket Movie: Last Game 0401,ONA,Manga,7.4,"Parody, Sports",1
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,OVA,Manga,7.26,Hentai,2
4415,World Destruction: Sekai Bokumetsu no Rokunin,TV,Game,7.06,"Adventure, Fantasy",13
30046,Hadashi Neko,Special,Unknown,5.5,"Adventure, Comedy",1
24531,Ane Log: Moyako Neesan no Tomaranai Monologue,OVA,Manga,6.28,"Comedy, Ecchi, School, Shounen",3
467,Ghost in the Shell: Stand Alone Complex,TV,Manga,8.46,"Action, Military, Sci-Fi, Police, Mecha, Seinen",26
33669,Cure Miracle to Mofurun no Mahou Lesson,Movie,Original,6.1,"Action, Slice of Life, Magic, Fantasy, School, Shoujo",1
33875,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu vs. Nakimushi Aidoru!? Nihon Ikkai Dai-Sug,Special,Manga,7,"Comedy, Police",1
